['250', '1527156419736', '-0.235', '0.51', '10.415', 'AccStLineZ'],
['251', '1527156419744', '-0.235', '0.51', '10.415', 'AccStLineZ'],
['252', '1527156419752', '-0.157', '0.51', '10.415', 'AccStLineZ'],
['253', '1527156419760', '-0.157', '0.49', '10.415', 'AccStLineZ'],
['254', '1527156419769', '-0.039', '0.49', '10.356', 'AccStLineZ'],
['255', '1527156419777', '0.02', '0.49', '10.277', 'AccStLineZ'],
['256', '1527156419785', '0.02', '0.49', '10.277', 'AccStLineZ'],
['257', '1527156419794', '-0.059', '0.51', '10.317', 'AccStLineZ'],
['258', '1527156419802', '-0.196', '0.49', '10.258', 'AccStLineZ'],
['259', '1527156419811', '-0.157', '0.471', '10.317', 'AccStLineZ'],
['260', '1527156419819', '-0.216', '0.49', '10.277', 'AccStLineZ'],
['261', '1527156419828', '-0.255', '0.53', '10.336', 'AccStLineZ'],
['262', '1527156419836', '-0.255', '0.53', '10.336', 'AccStLineZ'],
['263', '1527156419844', '-0.275', '0.569', '10.317', 'AccStLineZ'],
['264', '1527156419853', '-0.373', '0.53', '10.297', 'AccStLineZ'],
['265', '1527156419861', '-0.294', '0.53', '10.336', 'AccStLineZ'],
['266', '1527156419870', '-0.157', '0.49', '10.356', 'AccStLineZ'],
['267', '1527156419879', '-0.078', '0.431', '10.356', 'AccStLineZ'],
['268', '1527156419886', '-0.078', '0.431', '10.356', 'AccStLineZ'],
['269', '1527156419896', '-0.039', '0.431', '10.317', 'AccStLineZ'],
['270', '1527156419903', '-0.118', '0.431', '10.395', 'AccStLineZ'],
['271', '1527156419912', '0.039', '0.451', '10.277', 'AccStLineZ'],
['272', '1527156419920', '0', '0.373', '10.297', 'AccStLineZ'],
['273', '1527156419928', '0.039', '0.373', '10.297', 'AccStLineZ'],
['274', '1527156419936', '0.039', '0.373', '10.297', 'AccStLineZ'],
['275', '1527156419945', '0.059', '0.392', '10.277', 'AccStLineZ'],
['276', '1527156419953', '0.02', '0.412', '10.317', 'AccStLineZ'],
['277', '1527156419962', '0.078', '0.451', '10.258', 'AccStLineZ'],
['278', '1527156419970', '0.078', '0.51', '10.317', 'AccStLineZ'],
['279', '1527156419979', '0.02', '0.51', '10.336', 'AccStLineZ'],
['280', '1527156419987', '0.02', '0.51', '10.336', 'AccStLineZ'],
['281', '1527156419995', '0.02', '0.49', '10.317', 'AccStLineZ'],
['282', '1527156420005', '-0.039', '0.49', '10.336', 'AccStLineZ'],
['283', '1527156420012', '-0.059', '0.471', '10.356', 'AccStLineZ'],
['284', '1527156420021', '-0.078', '0.471', '10.356', 'AccStLineZ'],
['285', '1527156420030', '-0.177', '0.412', '10.356', 'AccStLineZ'],
['286', '1527156420037', '-0.177', '0.412', '10.356', 'AccStLineZ'],
['287', '1527156420045', '-0.118', '0.412', '10.395', 'AccStLineZ'],
['288', '1527156420054', '-0.078', '0.49', '10.297', 'AccStLineZ'],
['289', '1527156420061', '-0.098', '0.451', '10.277', 'AccStLineZ'],
['290', '1527156420070', '-0.059', '0.451', '10.277', 'AccStLineZ'],
['291', '1527156420078', '-0.137', '0.471', '10.375', 'AccStLineZ'],
['292', '1527156420090', '-0.137', '0.471', '10.375', 'AccStLineZ'],
['293', '1527156420095', '-0.078', '0.51', '10.336', 'AccStLineZ'],
['294', '1527156420103', '0', '0.49', '10.375', 'AccStLineZ'],
['295', '1527156420112', '-0.039', '0.471', '10.375', 'AccStLineZ'],
['296', '1527156420120', '-0.177', '0.51', '10.356', 'AccStLineZ'],
['297', '1527156420128', '-0.039', '0.51', '10.395', 'AccStLineZ'],
['298', '1527156420137', '-0.039', '0.51', '10.395', 'AccStLineZ'],
['299', '1527156420145', '-0.039', '0.549', '10.415', 'AccStLineZ'],
['300', '1527156420154', '0.02', '0.471', '10.317', 'AccStLineZ'],
['301', '1527156420162', '0.039', '0.451', '10.297', 'AccStLineZ'],
['302', '1527156420170', '0.098', '0.49', '10.277', 'AccStLineZ'],
['303', '1527156420179', '0.118', '0.49', '10.317', 'AccStLineZ'],
['304', '1527156420187', '0.118', '0.49', '10.317', 'AccStLineZ'],
['305', '1527156420196', '0.137', '0.49', '10.219', 'AccStLineZ'],
['306', '1527156420204', '0.118', '0.471', '10.238', 'AccStLineZ'],
['307', '1527156420214', '0.157', '0.49', '10.297', 'AccStLineZ'],
['308', '1527156420222', '0.137', '0.471', '10.277', 'AccStLineZ'],
['309', '1527156420230', '0.098', '0.549', '10.258', 'AccStLineZ'],
['310', '1527156420239', '0.098', '0.549', '10.258', 'AccStLineZ'],
['311', '1527156420247', '-0.059', '0.569', '10.336', 'AccStLineZ'],
['312', '1527156420256', '0.039', '0.549', '10.375', 'AccStLineZ'],
['313', '1527156420264', '0.059', '0.549', '10.258', 'AccStLineZ'],
['314', '1527156420272', '-0.02', '0.549', '10.277', 'AccStLineZ'],
['315', '1527156420281', '-0.098', '0.51', '10.317', 'AccStLineZ'],
['316', '1527156420289', '-0.098', '0.51', '10.317', 'AccStLineZ'],
['317', '1527156420297', '-0.157', '0.451', '10.356', 'AccStLineZ'],
['318', '1527156420306', '-0.196', '0.49', '10.375', 'AccStLineZ'],
['319', '1527156420314', '-0.255', '0.451', '10.415', 'AccStLineZ'],
['320', '1527156420323', '-0.177', '0.431', '10.356', 'AccStLineZ'],
['321', '1527156420332', '-0.196', '0.49', '10.336', 'AccStLineZ'],
['322', '1527156420340', '-0.196', '0.49', '10.336', 'AccStLineZ'],
['323', '1527156420348', '-0.196', '0.451', '10.356', 'AccStLineZ'],
['324', '1527156420357', '-0.333', '0.431', '10.258', 'AccStLineZ'],
['325', '1527156420365', '-0.294', '0.51', '10.356', 'AccStLineZ'],
['326', '1527156420384', '-0.275', '0.471', '10.317', 'AccStLineZ'],
['327', '1527156420385', '-0.118', '0.471', '10.277', 'AccStLineZ'],
['328', '1527156420399', '-0.118', '0.471', '10.277', 'AccStLineZ'],
['329', '1527156420400', '-0.059', '0.53', '10.375', 'AccStLineZ'],
['330', '1527156420407', '-0.02', '0.53', '10.317', 'AccStLineZ'],
['331', '1527156420415', '0.078', '0.569', '10.179', 'AccStLineZ'],
['332', '1527156420423', '-0.098', '0.588', '10.297', 'AccStLineZ'],
['333', '1527156420431', '-0.098', '0.588', '10.297', 'AccStLineZ'],
['334', '1527156420442', '-0.137', '0.53', '10.238', 'AccStLineZ'],
['335', '1527156420448', '0', '0.53', '10.277', 'AccStLineZ'],
['336', '1527156420456', '-0.078', '0.373', '10.219', 'AccStLineZ'],
['337', '1527156420464', '-0.059', '0.392', '10.297', 'AccStLineZ'],
['338', '1527156420473', '-0.02', '0.431', '10.297', 'AccStLineZ'],
['339', '1527156420482', '-0.02', '0.431', '10.297', 'AccStLineZ'],
['340', '1527156420490', '0.02', '0.451', '10.258', 'AccStLineZ'],
['341', '1527156420498', '0.078', '0.451', '10.277', 'AccStLineZ'],
['342', '1527156420507', '0.177', '0.49', '10.336', 'AccStLineZ'],
['343', '1527156420515', '0.02', '0.471', '10.415', 'AccStLineZ'],
['344', '1527156420523', '0', '0.451', '10.415', 'AccStLineZ'],
['345', '1527156420532', '0', '0.451', '10.415', 'AccStLineZ'],
['346', '1527156420540', '-0.039', '0.431', '10.375', 'AccStLineZ'],
['347', '1527156420548', '0', '0.451', '10.297', 'AccStLineZ'],
['348', '1527156420557', '-0.098', '0.412', '10.375', 'AccStLineZ'],
['349', '1527156420565', '-0.118', '0.451', '10.375', 'AccStLineZ'],
['350', '1527156420574', '-0.157', '0.451', '10.297', 'AccStLineZ'],
['351', '1527156420582', '-0.157', '0.451', '10.297', 'AccStLineZ'],
['352', '1527156420591', '-0.02', '0.431', '10.356', 'AccStLineZ'],
['353', '1527156420600', '-0.039', '0.451', '10.356', 'AccStLineZ'],
['354', '1527156420608', '-0.039', '0.471', '10.277', 'AccStLineZ'],
['355', '1527156420616', '-0.059', '0.471', '10.297', 'AccStLineZ'],
['356', '1527156420625', '0.02', '0.471', '10.356', 'AccStLineZ'],
['357', '1527156420633', '0.02', '0.471', '10.356', 'AccStLineZ'],
['358', '1527156420643', '-0.059', '0.51', '10.356', 'AccStLineZ'],
['359', '1527156420650', '-0.098', '0.53', '10.219', 'AccStLineZ'],
['360', '1527156420659', '-0.157', '0.51', '10.258', 'AccStLineZ'],
['361', '1527156420667', '-0.157', '0.49', '10.317', 'AccStLineZ'],
['362', '1527156420676', '-0.059', '0.549', '10.317', 'AccStLineZ'],
['363', '1527156420684', '-0.059', '0.549', '10.317', 'AccStLineZ'],
['364', '1527156420692', '0.157', '0.53', '10.258', 'AccStLineZ'],
['365', '1527156420700', '0.255', '0.51', '10.258', 'AccStLineZ'],
['366', '1527156420709', '0.275', '0.51', '10.219', 'AccStLineZ'],
['367', '1527156420717', '0.353', '0.53', '10.277', 'AccStLineZ'],
['368', '1527156420726', '0.275', '0.549', '10.375', 'AccStLineZ'],
['369', '1527156420734', '0.275', '0.549', '10.375', 'AccStLineZ'],
['370', '1527156420743', '0.137', '0.51', '10.454', 'AccStLineZ'],
['371', '1527156420751', '0.059', '0.549', '10.415', 'AccStLineZ'],
